dimension, 678, 591
Result (x y micro-second), 1, 11, 2211
Result (x y micro-second), 13, 47, 1187
Result (x y micro-second), 11, 47, 1263
Result (x y micro-second), 47, 11, 1178
Result (x y micro-second), 23, 13, 1167
Result (x y micro-second), 47, 13, 1148
Result (x y micro-second), 7, 32, 1221
Result (x y micro-second), 23, 1, 1375
Result (x y micro-second), 32, 47, 1008
Result (x y micro-second), 23, 47, 1014
Result (x y micro-second), 32, 32, 1202
Result (x y micro-second), 64, 11, 1198
Result (x y micro-second), 64, 13, 1161
Result (x y micro-second), 13, 29, 1184
Result (x y micro-second), 7, 23, 1248
Result (x y micro-second), 29, 1, 1289
Result (x y micro-second), 47, 47, 1013
Result (x y micro-second), 47, 5, 1152
Result (x y micro-second), 32, 16, 1133
Result (x y micro-second), 11, 5, 1217
Result (x y micro-second), 32, 64, 1010
Result (x y micro-second), 11, 64, 1276
Result (x y micro-second), 29, 47, 1012
Result (x y micro-second), 64, 11, 1192
Result (x y micro-second), 29, 11, 1178
Result (x y micro-second), 5, 7, 1441
Result (x y micro-second), 1, 64, 1938
Result (x y micro-second), 23, 64, 1001
Result (x y micro-second), 5, 64, 1279
Result (x y micro-second), 13, 11, 1178
Result (x y micro-second), 16, 1, 1488
Result (x y micro-second), 5, 7, 1430
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 11, 16, 1195
Result (x y micro-second), 11, 13, 1199
Result (x y micro-second), 13, 1, 1587
Result (x y micro-second), 11, 29, 1188
Result (x y micro-second), 32, 47, 1011
Result (x y micro-second), 23, 16, 1163
Result (x y micro-second), 5, 1, 2445
Result (x y micro-second), 32, 1, 1267
Result (x y micro-second), 5, 29, 1263
Result (x y micro-second), 32, 29, 1154
Result (x y micro-second), 13, 47, 1201
Result (x y micro-second), 13, 47, 1193
Result (x y micro-second), 64, 47, 1005
Result (x y micro-second), 47, 64, 1023
Result (x y micro-second), 1, 23, 2071
Result (x y micro-second), 32, 7, 1136
Result (x y micro-second), 47, 1, 1205
Result (x y micro-second), 23, 7, 1151
Result (x y micro-second), 64, 64, 1013
Result (x y micro-second), 32, 16, 1134
Result (x y micro-second), 23, 5, 1151
Result (x y micro-second), 1, 29, 2096
Result (x y micro-second), 5, 23, 1289
Result (x y micro-second), 16, 1, 1490
Result (x y micro-second), 7, 5, 1368
Result (x y micro-second), 29, 29, 1194
Result (x y micro-second), 32, 1, 1280
Result (x y micro-second), 16, 23, 1161
Result (x y micro-second), 32, 5, 1129
Result (x y micro-second), 16, 23, 1159
Result (x y micro-second), 23, 7, 1164
Result (x y micro-second), 32, 13, 1165
Result (x y micro-second), 1, 7, 2526
Result (x y micro-second), 16, 32, 1171
Result (x y micro-second), 64, 7, 1153
Result (x y micro-second), 11, 16, 1197
Result (x y micro-second), 11, 5, 1219
Result (x y micro-second), 64, 7, 1149
Result (x y micro-second), 29, 13, 1162
Result (x y micro-second), 11, 64, 1262
Result (x y micro-second), 11, 32, 1211
Result (x y micro-second), 23, 5, 1146
Result (x y micro-second), 47, 47, 1019
Result (x y micro-second), 29, 13, 1158
Result (x y micro-second), 64, 5, 1135
Result (x y micro-second), 64, 16, 1156
Result (x y micro-second), 5, 23, 1264
Result (x y micro-second), 32, 64, 1016
Result (x y micro-second), 32, 1, 1288
Result (x y micro-second), 23, 29, 1178
Result (x y micro-second), 1, 47, 2235
Result (x y micro-second), 5, 11, 1346
Result (x y micro-second), 32, 47, 1009
Result (x y micro-second), 11, 13, 1181
Result (x y micro-second), 1, 13, 2164
Result (x y micro-second), 5, 13, 1291
Result (x y micro-second), 7, 29, 1218
Result (x y micro-second), 16, 47, 1209
Result (x y micro-second), 11, 64, 1277
Result (x y micro-second), 1, 5, 2870
Result (x y micro-second), 47, 64, 1017
Result (x y micro-second), 13, 64, 1236
Result (x y micro-second), 16, 5, 1153
Result (x y micro-second), 29, 7, 1151
Result (x y micro-second), 64, 7, 1157
Result (x y micro-second), 29, 64, 1015
Result (x y micro-second), 47, 23, 1010
Result (x y micro-second), 1, 23, 2085
Result (x y micro-second), 13, 13, 1182
Result (x y micro-second), 1, 16, 2110
Result (x y micro-second), 23, 5, 1143
Result (x y micro-second), 47, 23, 1010
Result (x y micro-second), 29, 5, 1151
Result (x y micro-second), 7, 32, 1216
Result (x y micro-second), 1, 7, 2528
Result (x y micro-second), 47, 47, 996
Result (x y micro-second), 7, 11, 1223
Result (x y micro-second), 23, 16, 1164
Result (x y micro-second), 7, 1, 2059
Result (x y micro-second), 23, 7, 1181
Result (x y micro-second), 11, 7, 1200
Result (x y micro-second), 5, 5, 1445
Result (x y micro-second), 47, 7, 1151
Result (x y micro-second), 23, 7, 1159
Result (x y micro-second), 13, 13, 1177
Result (x y micro-second), 16, 32, 1171
Result (x y micro-second), 16, 11, 1145
Result (x y micro-second), 13, 64, 1256
Result (x y micro-second), 7, 23, 1229
Result (x y micro-second), 32, 7, 1129
Result (x y micro-second), 47, 13, 1158
Result (x y micro-second), 47, 47, 1012
Result (x y micro-second), 29, 13, 1155
Result (x y micro-second), 5, 64, 1307
Result (x y micro-second), 16, 29, 1170
Result (x y micro-second), 5, 23, 1270
Result (x y micro-second), 64, 1, 1170
Result (x y micro-second), 16, 23, 1156
Result (x y micro-second), 1, 1, 7968
Result (x y micro-second), 23, 13, 1138
Result (x y micro-second), 13, 5, 1208
Result (x y micro-second), 1, 32, 2027
Result (x y micro-second), 7, 13, 1207
Result (x y micro-second), 16, 16, 1144
Result (x y micro-second), 32, 1, 1288
Result (x y micro-second), 16, 13, 1149
Result (x y micro-second), 16, 13, 1152
Result (x y micro-second), 1, 64, 1943
Result (x y micro-second), 23, 7, 1198
Result (x y micro-second), 47, 47, 1013
Result (x y micro-second), 47, 32, 1012
Result (x y micro-second), 13, 23, 1189
Result (x y micro-second), 47, 32, 1020
Result (x y micro-second), 5, 29, 1272
Result (x y micro-second), 23, 32, 1251
Result (x y micro-second), 64, 47, 1020
Result (x y micro-second), 29, 64, 1007
Result (x y micro-second), 13, 47, 1197
Result (x y micro-second), 11, 47, 1263
Result (x y micro-second), 5, 47, 1273
Result (x y micro-second), 32, 29, 1144
Result (x y micro-second), 11, 1, 1676
Result (x y micro-second), 1, 5, 2868
Result (x y micro-second), 64, 13, 1163
Result (x y micro-second), 11, 47, 1261
Result (x y micro-second), 11, 7, 1195
Result (x y micro-second), 13, 16, 1186
Result (x y micro-second), 23, 1, 1366
Result (x y micro-second), 7, 32, 1230
Result (x y micro-second), 32, 29, 1147
Result (x y micro-second), 11, 29, 1196
Result (x y micro-second), 16, 64, 1191
Result (x y micro-second), 23, 47, 1013
Result (x y micro-second), 32, 29, 1149
Result (x y micro-second), 16, 32, 1164
Result (x y micro-second), 11, 7, 1200
Result (x y micro-second), 13, 13, 1195
Result (x y micro-second), 7, 7, 1264
Result (x y micro-second), 23, 7, 1159
Result (x y micro-second), 23, 47, 1012
Result (x y micro-second), 47, 47, 1011
Result (x y micro-second), 47, 1, 1213
Result (x y micro-second), 7, 16, 1253
Result (x y micro-second), 5, 7, 1429
Result (x y micro-second), 1, 29, 2035
Result (x y micro-second), 47, 11, 1171
Result (x y micro-second), 11, 11, 1193
Result (x y micro-second), 7, 29, 1251
Result (x y micro-second), 64, 32, 1014
Result (x y micro-second), 5, 16, 1273
Result (x y micro-second), 16, 13, 1147
Result (x y micro-second), 29, 29, 1221
Result (x y micro-second), 29, 32, 1195
Result (x y micro-second), 47, 7, 1170
Result (x y micro-second), 32, 16, 1169
Result (x y micro-second), 47, 23, 1017
Result (x y micro-second), 5, 23, 1279
Result (x y micro-second), 13, 11, 1187
Result (x y micro-second), 1, 16, 2122
Result (x y micro-second), 23, 47, 998
Result (x y micro-second), 5, 7, 1426
Result (x y micro-second), 5, 7, 1424
Result (x y micro-second), 23, 5, 1145
Result (x y micro-second), 29, 16, 1170
Result (x y micro-second), 47, 32, 1012
Result (x y micro-second), 32, 7, 1122
Result (x y micro-second), 1, 11, 2208
Result (x y micro-second), 47, 29, 1013
Result (x y micro-second), 1, 23, 2065
Result (x y micro-second), 29, 32, 1186
Result (x y micro-second), 1, 16, 2122
Result (x y micro-second), 5, 64, 1276
Result (x y micro-second), 1, 16, 2119
Result (x y micro-second), 5, 47, 1255
Result (x y micro-second), 1, 16, 2112
Result (x y micro-second), 29, 64, 1012
Result (x y micro-second), 29, 23, 1155
Result (x y micro-second), 1, 1, 7967
Result (x y micro-second), 29, 29, 1211
Result (x y micro-second), 13, 13, 1187
Result (x y micro-second), 11, 5, 1224
Result (x y micro-second), 13, 5, 1197
Result (x y micro-second), 13, 7, 1180
Result (x y micro-second), 23, 13, 1239
Result (x y micro-second), 32, 7, 1132
Result (x y micro-second), 64, 23, 1014
Result (x y micro-second), 29, 1, 1304
Result (x y micro-second), 13, 23, 1193
Result (x y micro-second), 23, 16, 1169
Result (x y micro-second), 13, 13, 1193
Result (x y micro-second), 64, 64, 1021
Result (x y micro-second), 5, 13, 1301
Result (x y micro-second), 11, 64, 1257
Result (x y micro-second), 16, 1, 1487
Result (x y micro-second), 29, 29, 1206
Result (x y micro-second), 7, 32, 1226
Result (x y micro-second), 32, 23, 1173
Result (x y micro-second), 29, 1, 1306
Result (x y micro-second), 23, 7, 1158
Result (x y micro-second), 7, 7, 1272
Result (x y micro-second), 13, 7, 1182
Result (x y micro-second), 32, 47, 1010
Result (x y micro-second), 1, 64, 1940
Result (x y micro-second), 13, 13, 1182
Result (x y micro-second), 13, 29, 1186
Result (x y micro-second), 32, 5, 1123
Result (x y micro-second), 13, 32, 1233
Result (x y micro-second), 13, 29, 1194
Result (x y micro-second), 29, 29, 1202
Result (x y micro-second), 16, 5, 1161
Result (x y micro-second), 11, 16, 1177
Result (x y micro-second), 29, 1, 1309
Result (x y micro-second), 1, 11, 2225
Result (x y micro-second), 47, 29, 1011
Result (x y micro-second), 11, 5, 1221
Result (x y micro-second), 29, 29, 1206
Result (x y micro-second), 11, 7, 1197
Result (x y micro-second), 13, 11, 1175
Result (x y micro-second), 7, 32, 1225
Result (x y micro-second), 32, 13, 1154
Result (x y micro-second), 7, 11, 1228
Result (x y micro-second), 23, 13, 1157
Result (x y micro-second), 47, 32, 1021
Result (x y micro-second), 64, 13, 1170
Result (x y micro-second), 13, 13, 1184
Result (x y micro-second), 16, 29, 1176
Result (x y micro-second), 32, 1, 1293
Result (x y micro-second), 16, 32, 1159
Result (x y micro-second), 11, 13, 1193
Result (x y micro-second), 7, 29, 1236
Result (x y micro-second), 16, 47, 1215
Result (x y micro-second), 5, 23, 1271
Result (x y micro-second), 5, 16, 1276
Result (x y micro-second), 29, 11, 1152
Result (x y micro-second), 5, 7, 1421
Result (x y micro-second), 16, 5, 1164
Result (x y micro-second), 13, 47, 1196
Result (x y micro-second), 23, 7, 1160
Result (x y micro-second), 23, 16, 1161
Result (x y micro-second), 23, 64, 1012
Result (x y micro-second), 29, 64, 1010
Result (x y micro-second), 13, 13, 1187
Result (x y micro-second), 64, 64, 1016
Result (x y micro-second), 1, 1, 7980
Result (x y micro-second), 5, 7, 1417
Result (x y micro-second), 16, 13, 1146
Result (x y micro-second), 64, 16, 1158
Result (x y micro-second), 64, 47, 1015
Result (x y micro-second), 64, 13, 1159
Result (x y micro-second), 64, 47, 1011
Result (x y micro-second), 29, 13, 1160
Result (x y micro-second), 1, 1, 7975
Result (x y micro-second), 11, 13, 1190
Result (x y micro-second), 1, 47, 2241
Result (x y micro-second), 47, 16, 1195
Result (x y micro-second), 29, 11, 1150
Result (x y micro-second), 13, 1, 1601
Result (x y micro-second), 23, 5, 1137
Result (x y micro-second), 32, 23, 1185
Result (x y micro-second), 5, 29, 1262
Result (x y micro-second), 23, 16, 1170
Result (x y micro-second), 1, 16, 2123
Result (x y micro-second), 64, 32, 1003
Result (x y micro-second), 5, 29, 1273
Result (x y micro-second), 7, 1, 2044
Result (x y micro-second), 23, 29, 1164
Result (x y micro-second), 16, 23, 1163
Result (x y micro-second), 29, 32, 1189
Result (x y micro-second), 64, 16, 1151
Result (x y micro-second), 13, 23, 1200
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 29, 11, 1151
Result (x y micro-second), 32, 7, 1128
Result (x y micro-second), 7, 11, 1236
Result (x y micro-second), 23, 13, 1161
Result (x y micro-second), 1, 7, 2530
Result (x y micro-second), 29, 47, 988
Result (x y micro-second), 16, 23, 1157
Result (x y micro-second), 29, 29, 1197
Result (x y micro-second), 7, 29, 1230
Result (x y micro-second), 29, 32, 1230
Result (x y micro-second), 11, 64, 1273
Result (x y micro-second), 5, 32, 1261
Result (x y micro-second), 16, 47, 1208
Result (x y micro-second), 7, 64, 1256
Result (x y micro-second), 7, 7, 1276
Result (x y micro-second), 32, 64, 1001
Result (x y micro-second), 11, 11, 1188
Result (x y micro-second), 64, 23, 1010
Result (x y micro-second), 29, 23, 1171
Result (x y micro-second), 32, 29, 1152
Result (x y micro-second), 23, 13, 1165
Result (x y micro-second), 16, 47, 1222
Result (x y micro-second), 32, 64, 1010
Result (x y micro-second), 16, 64, 1199
Result (x y micro-second), 13, 1, 1583
Result (x y micro-second), 23, 16, 1152
Result (x y micro-second), 32, 16, 1144
Result (x y micro-second), 7, 11, 1230
Result (x y micro-second), 7, 11, 1245
Result (x y micro-second), 1, 13, 2172
Result (x y micro-second), 16, 23, 1155
Result (x y micro-second), 5, 23, 1271
Result (x y micro-second), 64, 64, 1005
Result (x y micro-second), 5, 23, 1270
Result (x y micro-second), 16, 47, 1212
Result (x y micro-second), 7, 47, 1264
Result (x y micro-second), 1, 16, 2120
Result (x y micro-second), 29, 32, 1198
Result (x y micro-second), 11, 1, 1668
Result (x y micro-second), 23, 16, 1146
Result (x y micro-second), 1, 64, 1934
Result (x y micro-second), 1, 23, 2051
Result (x y micro-second), 7, 7, 1249
Result (x y micro-second), 47, 13, 1157
Result (x y micro-second), 16, 47, 1220
Result (x y micro-second), 29, 32, 1178
Result (x y micro-second), 11, 23, 1176
Result (x y micro-second), 13, 7, 1173
Result (x y micro-second), 16, 11, 1145
Result (x y micro-second), 32, 32, 1146
Result (x y micro-second), 1, 32, 2056
Result (x y micro-second), 23, 1, 1358
Result (x y micro-second), 1, 5, 2865
Result (x y micro-second), 29, 5, 1138
Result (x y micro-second), 5, 7, 1422
Result (x y micro-second), 29, 64, 1009
Result (x y micro-second), 64, 29, 1028
Result (x y micro-second), 16, 5, 1156
Result (x y micro-second), 29, 13, 1164
Result (x y micro-second), 13, 1, 1595
Result (x y micro-second), 1, 1, 7990
Result (x y micro-second), 23, 11, 1165
Result (x y micro-second), 13, 32, 1229
Result (x y micro-second), 11, 32, 1222
Result (x y micro-second), 5, 47, 1286
Result (x y micro-second), 16, 5, 1171
Result (x y micro-second), 23, 64, 1014
Result (x y micro-second), 64, 16, 1151
Result (x y micro-second), 1, 23, 2063
Result (x y micro-second), 23, 5, 1154
Result (x y micro-second), 23, 1, 1368
Result (x y micro-second), 1, 16, 2124
Result (x y micro-second), 29, 16, 1170
Result (x y micro-second), 16, 7, 1141
Result (x y micro-second), 29, 47, 1019
Result (x y micro-second), 7, 23, 1240
Result (x y micro-second), 29, 23, 1161
Result (x y micro-second), 29, 1, 1318
Result (x y micro-second), 13, 1, 1578
Result (x y micro-second), 32, 16, 1125
Result (x y micro-second), 47, 5, 1142
Result (x y micro-second), 13, 11, 1187
Result (x y micro-second), 1, 11, 2207
Result (x y micro-second), 32, 47, 1009
Result (x y micro-second), 32, 5, 1132
Result (x y micro-second), 64, 11, 1184
Result (x y micro-second), 7, 32, 1237
Result (x y micro-second), 29, 47, 1017
Result (x y micro-second), 1, 5, 2871
Result (x y micro-second), 47, 23, 1001
Result (x y micro-second), 32, 47, 1011
Result (x y micro-second), 5, 13, 1292
Result (x y micro-second), 16, 32, 1161
Result (x y micro-second), 7, 47, 1271
Result (x y micro-second), 23, 47, 1012
Result (x y micro-second), 5, 11, 1299
Result (x y micro-second), 32, 11, 1138
Result (x y micro-second), 23, 32, 1229
Result (x y micro-second), 23, 5, 1152
Result (x y micro-second), 13, 11, 1178
Result (x y micro-second), 7, 5, 1353
Result (x y micro-second), 16, 13, 1154
Result (x y micro-second), 47, 5, 1143
Result (x y micro-second), 5, 47, 1272
Result (x y micro-second), 7, 64, 1251
Result (x y micro-second), 7, 64, 1254
Result (x y micro-second), 47, 11, 1172
Result (x y micro-second), 5, 5, 1432
Result (x y micro-second), 64, 5, 1125
Result (x y micro-second), 32, 11, 1145
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 23, 29, 1163
Result (x y micro-second), 64, 64, 1058
Result (x y micro-second), 7, 16, 1353
Result (x y micro-second), 1, 13, 2209
Result (x y micro-second), 29, 11, 1169
Result (x y micro-second), 16, 64, 1294
Result (x y micro-second), 29, 11, 1250
Result (x y micro-second), 1, 23, 2237
Result (x y micro-second), 1, 1, 8085
Result (x y micro-second), 23, 1, 1379
Result (x y micro-second), 32, 7, 1143
Result (x y micro-second), 13, 29, 1213
Result (x y micro-second), 11, 5, 1219
Result (x y micro-second), 32, 1, 1281
Result (x y micro-second), 13, 23, 1198
Result (x y micro-second), 29, 1, 1313
Result (x y micro-second), 1, 23, 2072
Result (x y micro-second), 64, 5, 1141
Result (x y micro-second), 47, 47, 1016
Result (x y micro-second), 16, 11, 1187
Result (x y micro-second), 5, 1, 2471
Result (x y micro-second), 7, 23, 1228
Result (x y micro-second), 5, 1, 2452
Result (x y micro-second), 7, 64, 1243
Result (x y micro-second), 1, 23, 2077
Result (x y micro-second), 1, 23, 2065
Result (x y micro-second), 32, 7, 1130
Result (x y micro-second), 7, 1, 2047
Result (x y micro-second), 11, 47, 1251
Result (x y micro-second), 47, 29, 1016
Result (x y micro-second), 13, 16, 1181
Result (x y micro-second), 16, 13, 1172
Result (x y micro-second), 47, 11, 1186
Result (x y micro-second), 11, 29, 1216
Result (x y micro-second), 5, 47, 1280
Result (x y micro-second), 1, 1, 7970
Result (x y micro-second), 29, 1, 1301
Result (x y micro-second), 23, 23, 1216
Result (x y micro-second), 5, 23, 1258
Result (x y micro-second), 23, 64, 1014
Result (x y micro-second), 5, 13, 1281
Result (x y micro-second), 23, 47, 1012
Result (x y micro-second), 13, 23, 1188
Result (x y micro-second), 29, 29, 1212
Result (x y micro-second), 13, 11, 1181
Result (x y micro-second), 5, 23, 1267
Result (x y micro-second), 32, 29, 1158
Result (x y micro-second), 47, 13, 1160
Result (x y micro-second), 64, 5, 1180
Result (x y micro-second), 64, 47, 1019
Result (x y micro-second), 32, 64, 1014
Result (x y micro-second), 47, 13, 1158
Result (x y micro-second), 32, 7, 1127
Result (x y micro-second), 1, 47, 2227
Result (x y micro-second), 29, 13, 1155
Result (x y micro-second), 29, 32, 1198
Result (x y micro-second), 23, 1, 1360
Result (x y micro-second), 16, 64, 1194
Result (x y micro-second), 23, 64, 1015
Result (x y micro-second), 23, 47, 1010
Result (x y micro-second), 11, 16, 1188
Result (x y micro-second), 7, 47, 1263
Result (x y micro-second), 5, 1, 2441
Result (x y micro-second), 11, 47, 1249
Result (x y micro-second), 1, 7, 2532
Result (x y micro-second), 16, 32, 1173
Result (x y micro-second), 64, 11, 1199
Result (x y micro-second), 1, 16, 2118
Result (x y micro-second), 13, 1, 1578
Result (x y micro-second), 7, 1, 2035
Result (x y micro-second), 7, 47, 1267
Result (x y micro-second), 23, 32, 1224
Result (x y micro-second), 47, 47, 1009
Result (x y micro-second), 16, 7, 1157
Result (x y micro-second), 47, 1, 1215
Result (x y micro-second), 47, 64, 1006
Result (x y micro-second), 11, 64, 1270
Result (x y micro-second), 32, 16, 1116
Result (x y micro-second), 64, 47, 1011
Result (x y micro-second), 5, 32, 1270
Result (x y micro-second), 47, 29, 1015
Result (x y micro-second), 23, 23, 1195
Result (x y micro-second), 32, 23, 1184
Result (x y micro-second), 5, 5, 1417
Result (x y micro-second), 13, 5, 1189
Result (x y micro-second), 64, 13, 1164
Result (x y micro-second), 64, 23, 1011
Result (x y micro-second), 5, 23, 1266
Result (x y micro-second), 13, 13, 1188
Result (x y micro-second), 23, 1, 1364
Result (x y micro-second), 7, 11, 1236
Result (x y micro-second), 64, 16, 1162
Result (x y micro-second), 7, 23, 1237
Result (x y micro-second), 64, 5, 1136
Result (x y micro-second), 7, 64, 1260
Result (x y micro-second), 32, 64, 1014
Result (x y micro-second), 23, 11, 1149
Result (x y micro-second), 16, 11, 1152
Result (x y micro-second), 29, 13, 1157
Result (x y micro-second), 11, 47, 1257
Result (x y micro-second), 16, 7, 1167
Result (x y micro-second), 7, 7, 1271
Result (x y micro-second), 32, 5, 1129
Result (x y micro-second), 32, 7, 1122
Result (x y micro-second), 16, 7, 1151
Result (x y micro-second), 1, 29, 2042
Result (x y micro-second), 16, 1, 1491
Result (x y micro-second), 5, 29, 1271
Result (x y micro-second), 13, 64, 1212
Result (x y micro-second), 23, 23, 1200
Result (x y micro-second), 47, 11, 1157
Result (x y micro-second), 16, 13, 1146
Result (x y micro-second), 13, 47, 1206
Result (x y micro-second), 16, 1, 1505
Result (x y micro-second), 7, 32, 1224
Result (x y micro-second), 29, 23, 1164
Result (x y micro-second), 1, 47, 2242
Result (x y micro-second), 23, 23, 1201
Result (x y micro-second), 64, 7, 1149
Result (x y micro-second), 23, 13, 1154
Result (x y micro-second), 13, 29, 1194
Result (x y micro-second), 47, 47, 1011
Result (x y micro-second), 29, 1, 1369
Result (x y micro-second), 11, 1, 1680
Result (x y micro-second), 64, 47, 991
Result (x y micro-second), 13, 23, 1199
Result (x y micro-second), 7, 64, 1244
Result (x y micro-second), 32, 13, 1150
Result (x y micro-second), 23, 7, 1154
Result (x y micro-second), 11, 23, 1189
Result (x y micro-second), 47, 64, 1012
Result (x y micro-second), 5, 47, 1280
Result (x y micro-second), 47, 32, 1007
Result (x y micro-second), 13, 23, 1191
Result (x y micro-second), 32, 1, 1280
Result (x y micro-second), 1, 5, 2869
Result (x y micro-second), 29, 29, 1198
Result (x y micro-second), 64, 5, 1148
Result (x y micro-second), 29, 7, 1143
Result (x y micro-second), 64, 13, 1170
Result (x y micro-second), 47, 11, 1168
Result (x y micro-second), 64, 47, 1010
Result (x y micro-second), 1, 16, 2122
Result (x y micro-second), 11, 23, 1182
Result (x y micro-second), 32, 23, 1182
Result (x y micro-second), 7, 23, 1246
Result (x y micro-second), 11, 5, 1220
Result (x y micro-second), 7, 64, 1228
Result (x y micro-second), 29, 23, 1157
Result (x y micro-second), 23, 13, 1165
Result (x y micro-second), 13, 13, 1194
Result (x y micro-second), 11, 47, 1262
Result (x y micro-second), 1, 1, 7967
Result (x y micro-second), 32, 23, 1176
Result (x y micro-second), 1, 29, 2044
Result (x y micro-second), 64, 64, 1017
Result (x y micro-second), 47, 32, 1014
Result (x y micro-second), 32, 29, 1144
Result (x y micro-second), 7, 47, 1270
Result (x y micro-second), 5, 32, 1278
Result (x y micro-second), 7, 5, 1337
Result (x y micro-second), 5, 23, 1268
Result (x y micro-second), 7, 11, 1236
Result (x y micro-second), 16, 32, 1158
Result (x y micro-second), 32, 47, 1018
Result (x y micro-second), 64, 64, 1013
Result (x y micro-second), 7, 11, 1234
Result (x y micro-second), 47, 11, 1177
Result (x y micro-second), 11, 23, 1197
Result (x y micro-second), 47, 13, 1159
Result (x y micro-second), 5, 23, 1273
Result (x y micro-second), 5, 32, 1248
Result (x y micro-second), 11, 47, 1257
Result (x y micro-second), 13, 13, 1190
Result (x y micro-second), 23, 11, 1156
Result (x y micro-second), 64, 32, 1016
Result (x y micro-second), 13, 5, 1202
Result (x y micro-second), 5, 16, 1254
Result (x y micro-second), 13, 16, 1180
Result (x y micro-second), 7, 5, 1351
Result (x y micro-second), 11, 64, 1264
Result (x y micro-second), 64, 23, 1009
Result (x y micro-second), 7, 32, 1227
Result (x y micro-second), 47, 13, 1163
Result (x y micro-second), 5, 16, 1277
Result (x y micro-second), 32, 1, 1287
Result (x y micro-second), 1, 29, 2028
Result (x y micro-second), 32, 7, 1136
Result (x y micro-second), 16, 1, 1483
Result (x y micro-second), 13, 47, 1203
Result (x y micro-second), 11, 11, 1185
Result (x y micro-second), 29, 23, 1162
Result (x y micro-second), 7, 23, 1248
Result (x y micro-second), 1, 29, 2036
Result (x y micro-second), 1, 1, 7962
Result (x y micro-second), 23, 13, 1155
Result (x y micro-second), 64, 16, 1153
Result (x y micro-second), 64, 1, 1179
Result (x y micro-second), 1, 23, 2057
Result (x y micro-second), 13, 7, 1179
Result (x y micro-second), 1, 64, 1938
Result (x y micro-second), 1, 47, 2239
Result (x y micro-second), 23, 29, 1165
Result (x y micro-second), 47, 47, 1017
Result (x y micro-second), 29, 7, 1148
Result (x y micro-second), 32, 32, 1161
Result (x y micro-second), 13, 7, 1199
Result (x y micro-second), 5, 23, 1252
Result (x y micro-second), 32, 5, 1145
Result (x y micro-second), 1, 29, 2043
Result (x y micro-second), 64, 29, 1003
Result (x y micro-second), 1, 32, 2027
Result (x y micro-second), 64, 32, 1005
Result (x y micro-second), 32, 1, 1280
Result (x y micro-second), 11, 64, 1280
Result (x y micro-second), 1, 5, 2864
Result (x y micro-second), 29, 47, 1000
Result (x y micro-second), 32, 1, 1292
Result (x y micro-second), 16, 29, 1171
Result (x y micro-second), 47, 64, 1019
Result (x y micro-second), 29, 13, 1164
Result (x y micro-second), 32, 1, 1282
Result (x y micro-second), 13, 29, 1182
Result (x y micro-second), 16, 1, 1474
Result (x y micro-second), 29, 16, 1210
Result (x y micro-second), 29, 23, 1155
Result (x y micro-second), 64, 29, 1024
Result (x y micro-second), 11, 64, 1266
Result (x y micro-second), 7, 47, 1269
Result (x y micro-second), 32, 16, 1145
Result (x y micro-second), 23, 23, 1199
Result (x y micro-second), 13, 1, 1598
Result (x y micro-second), 13, 5, 1200
Result (x y micro-second), 1, 64, 1925
Result (x y micro-second), 23, 32, 1224
Result (x y micro-second), 47, 11, 1169
Result (x y micro-second), 64, 13, 1162
Result (x y micro-second), 5, 13, 1277
Result (x y micro-second), 5, 23, 1264
Result (x y micro-second), 7, 23, 1233
Result (x y micro-second), 64, 47, 1011
Result (x y micro-second), 5, 47, 1281
Result (x y micro-second), 11, 11, 1201
Result (x y micro-second), 23, 16, 1165
Result (x y micro-second), 64, 5, 1132
Result (x y micro-second), 32, 13, 1151
Result (x y micro-second), 16, 5, 1159
Result (x y micro-second), 13, 32, 1212
Result (x y micro-second), 1, 16, 2107
Result (x y micro-second), 29, 29, 1204
Result (x y micro-second), 1, 11, 2211
Result (x y micro-second), 32, 64, 1012
Result (x y micro-second), 23, 47, 1014
Result (x y micro-second), 5, 16, 1271
Result (x y micro-second), 11, 11, 1183
Result (x y micro-second), 1, 7, 2520
Result (x y micro-second), 5, 5, 1500
Result (x y micro-second), 47, 7, 1204
Result (x y micro-second), 7, 11, 1265
Result (x y micro-second), 16, 1, 1536
Result (x y micro-second), 7, 7, 1404
Result (x y micro-second), 13, 32, 1503
Result (x y micro-second), 5, 32, 1549
Result (x y micro-second), 16, 1, 1692
Result (x y micro-second), 1, 64, 2173
Result (x y micro-second), 29, 1, 1554
Result (x y micro-second), 1, 13, 2397
Result (x y micro-second), 1, 23, 2272
Result (x y micro-second), 1, 5, 3082
Result (x y micro-second), 47, 5, 1285
Result (x y micro-second), 16, 47, 1392
Result (x y micro-second), 5, 13, 1476
Result (x y micro-second), 47, 1, 1479
Result (x y micro-second), 16, 1, 1568
Result (x y micro-second), 5, 64, 1289
Result (x y micro-second), 47, 5, 1154
Result (x y micro-second), 1, 7, 2539
Result (x y micro-second), 47, 5, 1136
Result (x y micro-second), 1, 5, 2879
Result (x y micro-second), 64, 1, 1163
Result (x y micro-second), 47, 23, 1039
Result (x y micro-second), 64, 64, 1016
Result (x y micro-second), 32, 64, 1008
Result (x y micro-second), 11, 29, 1204
